Name,Availability,Ref,Discount,Image URL,Brand,Old Price,Price,product_url,Système d'exploitation,Mémoire,Garantie,Taille de l'écran,Type de Processeur,Disque Dur,Carte Graphique,Couleur,Store
Pc Portable HP 15S-EQ3000NK Ryzen 7 - 12Go 512Go SSD - Silver,sur commande 24h,6D6Y2EA-12,nan,https://www.technopro-online.com/94525-thickbox_default/pc-portable-hp-15s-eq3000nk-ryzen-7-12go-512go-ssd-silver.jpg,HP,nan,1879000,https://www.technopro-online.com/pc-portable-hp-15s-eq3000nk-ryzen-7-12go-512go-ssd-silver.html,Windows 11,12 Go,1 an,"15.6""",AMD Ryzen 7,512 Go SSD,Graphique Intégrée,Silver,OXtek
Pc portable Asus Vivobook S 15 AMD RYZEN 5 8Go 512Go SSD - Noir (M3502QA-MA013W),Sur commande 24H,M3502QA-MA013W,nan,https://www.technopro-online.com/91489-thickbox_default/pc-portable-asus-vivobook-s-15-amd-ryzen-5-8go-512go-noir.jpg,ASUS,nan,1889000,https://www.technopro-online.com/pc-portable-asus-vivobook-s-15-amd-ryzen-5-8go-512go-noir.html,Windows 11,8 Go,2 ans,"15.6""",AMD Ryzen 5,512 Go SSD,AMD Radeon,Gris,OXtek
Pc portable Asus Vivobook S 15 AMD RYZEN 5 8Go 512Go SSD - Gris (M3502QA-MA048W),Sur commande 24H,M3502QA-MA048W,nan,https://www.technopro-online.com/91500-thickbox_default/pc-portable-asus-vivobook-s-15-amd-ryzen-5-8go-512go-gris-tunisie.jpg,ASUS,nan,1889000,https://www.technopro-online.com/pc-portable-asus-vivobook-s-15-amd-ryzen-5-8go-512go-gris-tunisie.html,Windows 11,8 Go,2 ans,"15.6""",AMD Ryzen 5,512 Go SSD,AMD Radeon,Gris,OXtek
Pc portable Asus Vivobook S 15 AMD RYZEN 5 8Go 512Go SSD - Vert (M3502QA-MA098W),Sur commande 24H,M3502QA-MA098W,nan,https://www.technopro-online.com/91519-thickbox_default/pc-portable-asus-vivobook-s-15-vert-8go-512go-tunisie.jpg,ASUS,nan,1889000,https://www.technopro-online.com/pc-portable-asus-vivobook-s-15-vert-8go-512go-tunisie.html,Windows 11,8 Go,2 ans,"15.6""",AMD Ryzen 5,512 Go SSD,AMD Radeon,Vert,OXtek
PC Portable LENOVO IdeaPad 3 15IAU7 i7 12è Gén 8Go 512Go SSD - Gris,sur commande 24h,82RK00QHFG,nan,https://www.technopro-online.com/95213-thickbox_default/pc-portable-lenovo-ideapad-3-15iau7-i7-12e-gen-8go-512go-ssd-gris.jpg,LENOVO,nan,1889000,https://www.technopro-online.com/pc-portable-lenovo-ideapad-3-15iau7-i7-12e-gen-8go-512go-ssd-gris.html,Windows 11,8 Go,2 ans,"15.6""",Intel Core I5,512 Go SSD,,Gris,OXtek
Pc Portable Dell Vostro 3500 i5 11é Gén - 12 Go - 256Go SSD - Noir,En Stock,3500-I5-12go,nan,https://www.technopro-online.com/79910-thickbox_default/pc-portable-dell-vostro-3500-i5-11e-12-ram-256gb-ssd-black-3500-i5-12go.jpg,DELL,nan,1899000,https://www.technopro-online.com/pc-portable-dell-vostro-3500-i5-11e-12-ram-256gb-ssd-black-3500-i5-12go.html,Free Dos,12 Go,1 an,"15.6""",Intel Core I5,256 Go SSD,,Noir,OXtek
Pc Portable HP 15s-fq2001nk i5 11è Gén 8Go 256Go SSD - Silver (2U2M4EA),Sur commande 24H,2U2M4EA,200000.0,https://www.technopro-online.com/88373-thickbox_default/pc-portable-hp-15s-fq2001nk-i5-11e-gen-8-go-silver-2u2m4ea.jpg,HP,2099000.0,1899000,https://www.technopro-online.com/pc-portable-hp-15s-fq2001nk-i5-11e-gen-8-go-silver-2u2m4ea.html,Windows 10,8 Go,1 an,"15.6""",Intel Core I5,256 Go SSD,Graphique Intégrée,Silver,OXtek
"DELL Vostro 3510 i5 1035G7 10é 8Go 256Go SSD + 1To 15.6"" FHD",En Stock,3510-i5-8G-1To-256SSD,nan,https://www.technopro-online.com/91874-thickbox_default/dell-vostro-3510-i5-1035g7-10e-8go-256go-ssd-1to-156-fhd.jpg,DELL,nan,1899000,https://www.technopro-online.com/dell-vostro-3510-i5-1035g7-10e-8go-256go-ssd-1to-156-fhd.html,Free Dos,8 Go,1 an,"15.6""",Intel Core I5,1 To + 256 Go SSD,,Gris,OXtek
PC Portable LENOVO ThinkBook 14 G2 ITL i5 11è Gén 8Go 1To - Gris (20VD00EAFE),Sur commande 24H,20VD00EAFE,nan,https://www.technopro-online.com/86903-thickbox_default/pc-portable-lenovo-thinkbook-14-g2-itl-i5-11e-gen-8go-1to-gris-tunisie.jpg,LENOVO,nan,1899000,https://www.technopro-online.com/pc-portable-lenovo-thinkbook-14-g2-itl-i5-11e-gen-8go-1to-gris-tunisie.html,Free Dos,8 Go,1 an,"14""",Intel Core I5,1 To,,Noir,OXtek
Pc Portable Lenovo ThinkBook 15 G2 ITL i5 11Gén 8Go 1To - Gris (20VE00DWFE),Sur commande 24H,20VE00DWFE,nan,https://www.technopro-online.com/86931-thickbox_default/lenovo-thinkbook-15-g2-itl-i5-11gen-8go-1to-gris-20ve00dwfe-tunisie.jpg,LENOVO,nan,1899000,https://www.technopro-online.com/lenovo-thinkbook-15-g2-itl-i5-11gen-8go-1to-gris-20ve00dwfe-tunisie.html,Free Dos,8 Go,1 an,"15.6""",Intel Core I5,1 To,,Gris,OXtek
